chain,protocol,pool_type,pool_address,token_pair,fee_tier_or_fee_bps,tvl_proxy_usd,vol24h_usd,source_artifact,validation_status,selected_for_12h_retry,adapter_ready,collector_observable,reason
solana,orca_whirlpool,clmm,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,SOL/USDC,4,32526289.161982324,230667978.94491598,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,stable,Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,SOL/JitoSOL,1,31439173.852664158,20121510.233097326,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,SOL/cbBTC,16,10487327.11186056,16287492.073426703,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,JLP/USDC,2,10178145.560049431,17217155.08553738,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,9RqDTfwCx2SgxsvKpspQHc38HUo3B6hRd3oR9JR966Ps,/USDC,1,10149447.823292863,1412521.497236135,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,stable,G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA,JTO/JitoSOL,30,6752811.5785147175,2010288.8423918306,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,cbBTC/USDC,4,5809601.222246253,21164476.251783185,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,stable,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,PYUSD/USDC,1,5372196.749193131,4039707.038000655,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,SOL/WBTC,5,5319196.54760222,19329592.899051912,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,stable,68soqftZg4HL1Dcis5hMgkLKU9qyC8qbn5JzLhrxhgi9,FDUSD/USDT,1,5276534.94309616,2938004.9015173027,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,SOL/whETH,5,4055881.0812425776,15673424.335046232,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,clmm,6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP,4,3709271.4990743455,13440801.545096017,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,orca_whirlpool,stable,5xfKkFmhzNhHKTFUkh4PJmHSWB6LpRvhJcUMKzPP6md2,wfragSOL/JitoSOL,1,3665595.6288359854,1265671.8596854585,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,SOL/USDT 0.01%,0,3612077.06,27076908.84,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,SOL/USDC,0,9463487.32,18432332.91,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,BZtgQEyS6eXUXicYPHecYQ7PybqodXQMvkjUbP4R8mUU,USDC/USDT 0.01%,0,8460099.7,6105425.65,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,RAY/SOL 0.05%,0,2399451.52,6061077.93,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV,CRCLx/USDC,0,5433829.42,5373840.79,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,HzKStSGe3Vwk2Z5EVRKhf7WuauWAKGryKw7ayAwg8Vj,UNOS/SOL,0,20.88,4658726.2,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,BxZ1GN3qVe7iwuQjaebgCyjMYjdXtia8YP3JfuVpUAUU,WorldCup/SOL,0,18.76,3437908.61,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
solana,raydium_clmm,clmm,CsFBAvNFAdyQLJHrB1EGkrsewaWF3ZLN59JoVoi3Sbgf,SAOS/SOL,0,22.94,3181641.68,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,verified_v2_universe,True,True,True,in_v2_universe_fully_observable
